doc_idx,ArticleID,group,Readability,Readability_resid,total_bigrams
84,3641,0,7,-1.113608710625602,60
85,3643,0,7,-0.9083250513639545,28
86,3654,0,6,-1.3147937981180986,82
87,3655,0,7,-0.8762769526191194,15
88,3668,0,6,-1.0354813374462157,47
89,3670,0,7,-0.9861477227817774,45
90,3772,0,6,-0.8405778131981902,62
91,3846,0,6,-1.0250608768937974,28
92,3881,0,5,-1.883105832481628,66
93,3896,0,3,-3.1727056016937505,29
94,3920,0,5,-1.969669867570075,26
95,3984,0,6,-1.101068408649395,42
96,3991,0,4,-1.8875030067553427,33
97,3999,0,4,-1.897389574320349,52
98,4103,0,6,-0.8406129814902261,46
99,4133,0,4,-2.2685091335792915,68
100,4151,0,5,-1.967814412419198,32
101,4180,0,7,-1.1376449809105065,27
102,4202,0,6,-1.4842322030963189,40
103,4203,0,7,-1.0161575129944271,37
104,4206,0,7,-1.1432822235859046,55
105,4236,0,6,-2.7359615469547833,42
106,4260,0,4,-3.204825017116554,52
107,4262,0,7,-0.9626539733584796,36
108,4271,0,5,-2.0999360133364764,75
109,4289,0,6,-1.495525037742822,54
110,4298,0,6,-1.981498923250177,67
111,4314,0,7,-0.972599829351819,39
112,4330,0,6,-1.369296273869887,23
113,4336,0,6,-2.457135898156009,55
114,4356,0,6,-1.1231328905318785,20
115,4365,0,6,-1.4058678957646569,64
116,4368,0,6,-1.2828406398640206,25
117,4371,0,6,-1.85192398575518,53
118,4374,0,6,-1.0441280061046703,28
119,4417,0,7,-1.1033878107274546,31
120,4434,0,7,-0.8700778501953135,27
121,4449,0,7,-0.9487919740749335,38
122,4456,0,7,-0.835364732005119,40
123,4465,0,6,-1.3239815892966158,31
124,4467,0,7,-1.1415532069537786,27
125,4472,0,7,-1.0858263012716751,32
126,4479,0,7,-1.0754318549277446,34
127,4482,0,6,-1.4892037160502607,26
128,4483,0,7,-0.9868080596127768,31
129,4503,0,7,-1.565969838854846,51
130,4514,0,6,-1.8891999863235522,35
131,4522,0,7,-0.9050015889205989,32
132,4530,0,6,-2.2415664891689797,47
133,4536,0,7,-1.1793783747864381,44
134,4567,0,6,-1.4716849002739503,97
135,4578,0,6,-1.4104671383834768,33
136,4597,0,7,-1.3319970164601092,72
137,4606,0,6,-1.6505573839141432,23
138,4607,0,7,-0.9041417494374011,36
139,4608,0,7,-1.0147102672603303,28
140,4641,0,7,-1.1611009150212475,43
141,4642,0,6,-2.4057308493645557,60
142,4647,0,7,-1.1319822246280555,19
143,4652,0,6,-2.0627257084876867,30
144,4655,0,6,-1.6610175201791737,43
145,4669,0,7,-0.8714370525852839,62
146,4682,0,7,-0.9627810248672617,25
