phrase_idx,phrase,n_docs,total_count
260,under_which,140,150
261,we_propose,149,150
262,an_important,145,149
263,information_about,135,149
264,using_the,147,149
265,elasticity_of,122,148
266,account_for,139,147
267,and_other,145,147
268,in_their,134,147
269,maximum_likelihood,123,147
270,order_to,139,147
271,the_period,136,146
272,in_contrast,143,145
273,is_consistent,137,145
274,of_such,140,145
275,the_parameters,122,145
276,because_of,137,143
277,risk_aversion,98,143
278,expected_utility,90,142
279,model_the,139,142
280,some_of,134,142
281,argue_that,138,140
282,that_if,135,140
283,the_time,123,140
284,and_are,134,139
285,effects_on,131,139
286,method_of,127,139
287,importance_of,133,138
288,less_than,130,138
289,more_likely,124,138
290,should_be,122,138
291,the_asymptotic,104,138
292,with_an,135,138
293,within_the,130,138
294,but_not,133,137
295,for_this,135,137
296,results_of,135,137
297,to_which,128,137
298,and_an,134,136
299,income_and,121,136
300,monetary_policy,85,136
301,analyze_the,133,135
302,levels_of,125,135
303,using_data,135,135
304,between_and,119,134
305,context_of,133,134
306,equilibrium_model,125,134
307,the_context,133,134
308,to_explain,129,134
309,we_provide,129,134
310,depend_on,128,133
311,of_its,121,133
312,of_price,116,133
313,of_two,129,133
314,sufficient_conditions,122,133
315,the_present,125,133
316,long_term,102,132
317,our_model,121,132
318,the_average,111,132
319,the_latter,127,132
320,interest_rate,89,131
321,of_demand,107,131
322,size_of,116,131
323,model_to,127,130
324,must_be,127,130
325,of_our,121,130
326,response_to,118,130
327,the_implications,126,130
328,are_used,123,129
329,the_literature,122,129
330,the_purpose,123,129
331,this_model,124,129
332,the_new,102,128
333,according_to,114,127
334,models_with,118,127
335,of_money,90,127
336,out_of,106,127
337,the_economic,121,127
338,an_economy,116,126
339,an_equilibrium,108,126
340,data_for,122,126
341,of_return,79,126
342,result_is,125,126
343,results_suggest,125,126
344,the_assumption,112,126
345,the_degree,113,126
346,this_study,115,126
347,cannot_be,118,125
348,implications_for,121,125
349,measures_of,117,125
350,rates_and,117,125
351,an_increase,105,124
352,into_the,117,124
353,variety_of,120,124
